Model,Dataset,Metric,Value,Split
RF,Train,MAE,3.058501,42
RF,Train,R2,0.991748,43
RF,Train,RMSE,5.588233,43
RF,Train,MAE,3.230427,43
RF,Train,R2,0.990908,44
RF,Train,RMSE,5.928239,44
RF,Train,MAE,3.161609,44
RF,Train,R2,0.989974,45
RF,Train,RMSE,6.145979,45
RF,Train,MAE,3.346255,45
RF,Train,R2,0.994017,46
RF,Train,RMSE,4.920419,46
RF,Train,MAE,2.784264,46
RF,Train,R2,0.993336,47
RF,Train,RMSE,5.230555,47
RF,Train,MAE,3.034471,47
RF,Train,R2,0.990078,48
RF,Train,RMSE,5.941023,48
RF,Train,MAE,3.229371,48
RF,Train,R2,0.991721,49
RF,Train,RMSE,5.653411,49
RF,Train,MAE,3.155293,49
RF,Test,R2,0.937122,0
RF,Test,RMSE,14.393239,0
RF,Test,MAE,7.559980,0
RF,Test,R2,0.968537,1
RF,Test,RMSE,11.737638,1
RF,Test,MAE,6.154967,1
RF,Test,R2,0.969022,2
RF,Test,RMSE,11.335975,2
RF,Test,MAE,6.663461,2
RF,Test,R2,0.975894,3
RF,Test,RMSE,9.164065,3
RF,Test,MAE,5.200348,3
RF,Test,R2,0.973277,4
RF,Test,RMSE,10.061525,4
RF,Test,MAE,6.875919,4
RF,Test,R2,0.959734,5
RF,Test,RMSE,13.553046,5
RF,Test,MAE,7.868690,5
RF,Test,R2,0.951316,6
RF,Test,RMSE,14.788779,6
RF,Test,MAE,8.049376,6
RF,Test,R2,0.898981,7
RF,Test,RMSE,21.780667,7
RF,Test,MAE,9.977631,7
RF,Test,R2,0.924305,8
RF,Test,RMSE,16.775754,8
RF,Test,MAE,7.856795,8
RF,Test,R2,0.943656,9
RF,Test,RMSE,15.143807,9
RF,Test,MAE,7.560474,9
RF,Test,R2,0.947564,10
RF,Test,RMSE,13.812278,10
RF,Test,MAE,7.911495,10
RF,Test,R2,0.967441,11
RF,Test,RMSE,11.709908,11
RF,Test,MAE,6.067585,11
RF,Test,R2,0.931360,12
RF,Test,RMSE,18.079740,12
RF,Test,MAE,8.536604,12
RF,Test,R2,0.927268,13
RF,Test,RMSE,17.754185,13
RF,Test,MAE,9.268013,13
RF,Test,R2,0.897870,14
RF,Test,RMSE,22.667425,14
RF,Test,MAE,10.478130,14
RF,Test,R2,0.935657,15
RF,Test,RMSE,14.719308,15
RF,Test,MAE,8.100763,15
RF,Test,R2,0.945045,16
RF,Test,RMSE,14.564498,16
RF,Test,MAE,6.627526,16
RF,Test,R2,0.952963,17
RF,Test,RMSE,13.665926,17
RF,Test,MAE,6.569042,17
RF,Test,R2,0.951578,18
RF,Test,RMSE,14.602873,18
RF,Test,MAE,8.253800,18
RF,Test,R2,0.974180,19
RF,Test,RMSE,10.130275,19
RF,Test,MAE,6.519279,19
RF,Test,R2,0.933137,20
RF,Test,RMSE,15.857455,20
RF,Test,MAE,9.442719,20
RF,Test,R2,0.935606,21
RF,Test,RMSE,15.430142,21
RF,Test,MAE,6.609573,21
RF,Test,R2,0.880531,22
RF,Test,RMSE,21.953743,22
RF,Test,MAE,11.792689,22
RF,Test,R2,0.961937,23
RF,Test,RMSE,11.051033,23
RF,Test,MAE,5.828587,23
RF,Test,R2,0.967230,24
RF,Test,RMSE,10.560057,24
RF,Test,MAE,6.684333,24
RF,Test,R2,0.913570,25
RF,Test,RMSE,19.027207,25
RF,Test,MAE,9.578876,25
RF,Test,R2,0.952024,26
RF,Test,RMSE,12.836867,26
RF,Test,MAE,6.550394,26
RF,Test,R2,0.900799,27
RF,Test,RMSE,17.446527,27
RF,Test,MAE,9.190375,27
RF,Test,R2,0.907779,28
RF,Test,RMSE,19.366957,28
RF,Test,MAE,8.884049,28
RF,Test,R2,0.890369,29
RF,Test,RMSE,21.106172,29
RF,Test,MAE,8.542796,29
RF,Test,R2,0.932769,30
RF,Test,RMSE,17.082538,30
RF,Test,MAE,8.252986,30
RF,Test,R2,0.897109,31
RF,Test,RMSE,19.965701,31
RF,Test,MAE,9.515381,31
RF,Test,R2,0.933068,32
RF,Test,RMSE,15.924965,32
RF,Test,MAE,9.141283,32
RF,Test,R2,0.980872,33
RF,Test,RMSE,8.847804,33
RF,Test,MAE,5.817644,33
RF,Test,R2,0.943312,34
RF,Test,RMSE,14.327897,34
RF,Test,MAE,7.162884,34
RF,Test,R2,0.750395,35
RF,Test,RMSE,28.263554,35
RF,Test,MAE,12.694587,35
RF,Test,R2,0.943725,36
RF,Test,RMSE,13.535468,36
RF,Test,MAE,8.600028,36
RF,Test,R2,0.895667,37
RF,Test,RMSE,18.279478,37
RF,Test,MAE,11.166448,37
RF,Test,R2,0.861858,38
RF,Test,RMSE,23.407161,38
RF,Test,MAE,9.601399,38
RF,Test,R2,0.976238,39
RF,Test,RMSE,9.445040,39
RF,Test,MAE,6.415448,39
RF,Test,R2,0.980325,40
RF,Test,RMSE,9.527072,40
RF,Test,MAE,6.771159,40
RF,Test,R2,0.928594,41
RF,Test,RMSE,17.129322,41
RF,Test,MAE,7.466519,41
RF,Test,R2,0.947168,42
RF,Test,RMSE,14.057409,42
RF,Test,MAE,8.886833,42
RF,Test,R2,0.963622,43
RF,Test,RMSE,12.414899,43
RF,Test,MAE,6.624548,43
RF,Test,R2,0.959701,44
RF,Test,RMSE,12.559626,44
RF,Test,MAE,7.825355,44
RF,Test,R2,0.986038,45
RF,Test,RMSE,7.744509,45
RF,Test,MAE,4.978600,45
RF,Test,R2,0.891909,46
RF,Test,RMSE,18.595967,46
RF,Test,MAE,9.924142,46
RF,Test,R2,0.863674,47
RF,Test,RMSE,20.053807,47
RF,Test,MAE,8.766462,47
RF,Test,R2,0.971383,48
RF,Test,RMSE,12.104257,48
RF,Test,MAE,8.454240,48
RF,Test,R2,0.980954,49
RF,Test,RMSE,8.661778,49
RF,Test,MAE,5.636238,49
XGBoost,Train,R2,0.999339,0
XGBoost,Train,RMSE,1.630520,0
XGBoost,Train,MAE,0.884378,0
XGBoost,Train,R2,0.999484,1
XGBoost,Train,RMSE,1.390520,1
XGBoost,Train,MAE,0.850476,1
XGBoost,Train,R2,0.999379,2
XGBoost,Train,RMSE,1.538179,2
XGBoost,Train,MAE,0.924225,2
XGBoost,Train,R2,0.999438,3
XGBoost,Train,RMSE,1.494217,3
XGBoost,Train,MAE,0.905913,3
XGBoost,Train,R2,0.999400,4
XGBoost,Train,RMSE,1.529825,4
XGBoost,Train,MAE,0.839284,4
XGBoost,Train,R2,0.999092,5
XGBoost,Train,RMSE,1.832652,5
XGBoost,Train,MAE,1.017490,5
XGBoost,Train,R2,0.999570,6
XGBoost,Train,RMSE,1.264672,6
XGBoost,Train,MAE,0.720908,6
XGBoost,Train,R2,0.999002,7
XGBoost,Train,RMSE,1.912568,7
XGBoost,Train,MAE,1.024505,7
XGBoost,Train,R2,0.999349,8
XGBoost,Train,RMSE,1.596238,8
XGBoost,Train,MAE,0.903580,8
XGBoost,Train,R2,0.999334,9
XGBoost,Train,RMSE,1.596371,9
XGBoost,Train,MAE,0.939293,9
XGBoost,Train,R2,0.999274,10
XGBoost,Train,RMSE,1.690552,10
XGBoost,Train,MAE,0.988802,10
XGBoost,Train,R2,0.999243,11
XGBoost,Train,RMSE,1.694395,11
XGBoost,Train,MAE,0.979426,11
XGBoost,Train,R2,0.999331,12
XGBoost,Train,RMSE,1.562025,12
XGBoost,Train,MAE,0.885702,12
XGBoost,Train,R2,0.999428,13
XGBoost,Train,RMSE,1.466441,13
XGBoost,Train,MAE,0.824689,13
XGBoost,Train,R2,0.999555,14
XGBoost,Train,RMSE,1.262501,14
XGBoost,Train,MAE,0.739187,14
XGBoost,Train,R2,0.999408,15
XGBoost,Train,RMSE,1.539043,15
XGBoost,Train,MAE,0.886920,15
XGBoost,Train,R2,0.999343,16
XGBoost,Train,RMSE,1.597261,16
XGBoost,Train,MAE,0.923527,16
XGBoost,Train,R2,0.999402,17
XGBoost,Train,RMSE,1.517167,17
XGBoost,Train,MAE,0.862381,17
XGBoost,Train,R2,0.999459,18
XGBoost,Train,RMSE,1.423344,18
XGBoost,Train,MAE,0.859449,18
XGBoost,Train,R2,0.999387,19
XGBoost,Train,RMSE,1.536622,19
XGBoost,Train,MAE,0.878318,19
XGBoost,Train,R2,0.999454,20
XGBoost,Train,RMSE,1.460506,20
XGBoost,Train,MAE,0.866905,20
XGBoost,Train,R2,0.999356,21
XGBoost,Train,RMSE,1.589305,21
XGBoost,Train,MAE,0.897441,21
XGBoost,Train,R2,0.999390,22
XGBoost,Train,RMSE,1.529209,22
XGBoost,Train,MAE,0.849646,22
XGBoost,Train,R2,0.999491,23
XGBoost,Train,RMSE,1.432328,23
XGBoost,Train,MAE,0.843934,23
XGBoost,Train,R2,0.999544,24
XGBoost,Train,RMSE,1.348522,24
XGBoost,Train,MAE,0.730187,24
XGBoost,Train,R2,0.999142,25
XGBoost,Train,RMSE,1.805261,25
XGBoost,Train,MAE,1.080478,25
XGBoost,Train,R2,0.999206,26
XGBoost,Train,RMSE,1.779182,26
XGBoost,Train,MAE,0.967960,26
XGBoost,Train,R2,0.999651,27
XGBoost,Train,RMSE,1.192325,27
XGBoost,Train,MAE,0.750037,27
XGBoost,Train,R2,0.999499,28
XGBoost,Train,RMSE,1.384841,28
XGBoost,Train,MAE,0.768648,28
XGBoost,Train,R2,0.998940,29
XGBoost,Train,RMSE,2.014611,29
XGBoost,Train,MAE,1.042586,29
XGBoost,Train,R2,0.999463,30
XGBoost,Train,RMSE,1.421240,30
XGBoost,Train,MAE,0.831821,30
XGBoost,Train,R2,0.999519,31
XGBoost,Train,RMSE,1.365073,31
XGBoost,Train,MAE,0.708319,31
XGBoost,Train,R2,0.999287,32
XGBoost,Train,RMSE,1.667554,32
XGBoost,Train,MAE,0.964736,32
XGBoost,Train,R2,0.999250,33
XGBoost,Train,RMSE,1.693259,33
XGBoost,Train,MAE,0.928336,33
XGBoost,Train,R2,0.999442,34
XGBoost,Train,RMSE,1.483218,34
XGBoost,Train,MAE,0.823748,34
XGBoost,Train,R2,0.999483,35
XGBoost,Train,RMSE,1.444159,35
XGBoost,Train,MAE,0.803149,35
XGBoost,Train,R2,0.999644,36
XGBoost,Train,RMSE,1.197973,36
XGBoost,Train,MAE,0.650393,36
XGBoost,Train,R2,0.999511,37
XGBoost,Train,RMSE,1.404689,37
XGBoost,Train,MAE,0.803058,37
XGBoost,Train,R2,0.999257,38
XGBoost,Train,RMSE,1.691969,38
XGBoost,Train,MAE,0.965365,38
XGBoost,Train,R2,0.999488,39
XGBoost,Train,RMSE,1.414389,39
XGBoost,Train,MAE,0.796087,39
XGBoost,Train,R2,0.999478,40
XGBoost,Train,RMSE,1.388319,40
XGBoost,Train,MAE,0.827560,40
XGBoost,Train,R2,0.999418,41
XGBoost,Train,RMSE,1.489886,41
XGBoost,Train,MAE,0.865283,41
XGBoost,Train,R2,0.999341,42
XGBoost,Train,RMSE,1.605770,42
XGBoost,Train,MAE,0.865021,42
XGBoost,Train,R2,0.999428,43
XGBoost,Train,RMSE,1.471405,43
XGBoost,Train,MAE,0.820168,43
XGBoost,Train,R2,0.999548,44
XGBoost,Train,RMSE,1.322102,44
XGBoost,Train,MAE,0.769373,44
XGBoost,Train,R2,0.999307,45
XGBoost,Train,RMSE,1.615516,45
XGBoost,Train,MAE,0.978922,45
XGBoost,Train,R2,0.999541,46
XGBoost,Train,RMSE,1.363234,46
XGBoost,Train,MAE,0.785961,46
XGBoost,Train,R2,0.999384,47
XGBoost,Train,RMSE,1.590154,47
XGBoost,Train,MAE,0.873409,47
XGBoost,Train,R2,0.999359,48
XGBoost,Train,RMSE,1.509807,48
XGBoost,Train,MAE,0.927407,48
XGBoost,Train,R2,0.999401,49
XGBoost,Train,RMSE,1.520044,49
XGBoost,Train,MAE,0.886342,49
XGBoost,Test,R2,0.956604,0
XGBoost,Test,RMSE,11.957295,0
XGBoost,Test,MAE,6.908952,0
XGBoost,Test,R2,0.967199,1
XGBoost,Test,RMSE,11.984577,1
XGBoost,Test,MAE,6.923249,1
XGBoost,Test,R2,0.970321,2
XGBoost,Test,RMSE,11.095802,2
XGBoost,Test,MAE,6.385871,2
XGBoost,Test,R2,0.973884,3
XGBoost,Test,RMSE,9.538446,3
XGBoost,Test,MAE,5.887096,3
XGBoost,Test,R2,0.965589,4
XGBoost,Test,RMSE,11.417363,4
XGBoost,Test,MAE,7.044550,4
XGBoost,Test,R2,0.956475,5
XGBoost,Test,RMSE,14.090856,5
XGBoost,Test,MAE,8.723752,5
XGBoost,Test,R2,0.967431,6
XGBoost,Test,RMSE,12.096049,6
XGBoost,Test,MAE,7.656362,6
XGBoost,Test,R2,0.926938,7
XGBoost,Test,RMSE,18.523202,7
XGBoost,Test,MAE,10.198062,7
XGBoost,Test,R2,0.924146,8
XGBoost,Test,RMSE,16.793304,8
XGBoost,Test,MAE,7.373059,8
XGBoost,Test,R2,0.919646,9
XGBoost,Test,RMSE,18.084840,9
XGBoost,Test,MAE,10.093774,9
XGBoost,Test,R2,0.938548,10
XGBoost,Test,RMSE,14.952759,10
XGBoost,Test,MAE,8.010828,10
XGBoost,Test,R2,0.966904,11
XGBoost,Test,RMSE,11.806068,11
XGBoost,Test,MAE,6.405154,11
XGBoost,Test,R2,0.947552,12
XGBoost,Test,RMSE,15.804066,12
XGBoost,Test,MAE,8.632427,12
XGBoost,Test,R2,0.933544,13
XGBoost,Test,RMSE,16.970914,13
XGBoost,Test,MAE,9.512440,13
XGBoost,Test,R2,0.891933,14
XGBoost,Test,RMSE,23.316901,14
XGBoost,Test,MAE,9.334166,14
XGBoost,Test,R2,0.931757,15
XGBoost,Test,RMSE,15.158786,15
XGBoost,Test,MAE,7.978996,15
XGBoost,Test,R2,0.959789,16
XGBoost,Test,RMSE,12.458465,16
XGBoost,Test,MAE,7.200886,16
XGBoost,Test,R2,0.954396,17
XGBoost,Test,RMSE,13.456162,17
XGBoost,Test,MAE,6.735201,17
XGBoost,Test,R2,0.911013,18
XGBoost,Test,RMSE,19.796054,18
XGBoost,Test,MAE,10.109483,18
XGBoost,Test,R2,0.969854,19
XGBoost,Test,RMSE,10.946047,19
XGBoost,Test,MAE,6.498227,19
XGBoost,Test,R2,0.949380,20
XGBoost,Test,RMSE,13.797552,20
XGBoost,Test,MAE,8.055116,20
XGBoost,Test,R2,0.953361,21
XGBoost,Test,RMSE,13.131735,21
XGBoost,Test,MAE,6.105836,21
XGBoost,Test,R2,0.917577,22
XGBoost,Test,RMSE,18.235005,22
XGBoost,Test,MAE,10.072998,22
XGBoost,Test,R2,0.972671,23
XGBoost,Test,RMSE,9.364021,23
XGBoost,Test,MAE,6.256910,23
XGBoost,Test,R2,0.973044,24
XGBoost,Test,RMSE,9.577627,24
XGBoost,Test,MAE,6.567577,24
XGBoost,Test,R2,0.919078,25
XGBoost,Test,RMSE,18.410939,25
XGBoost,Test,MAE,9.443718,25
XGBoost,Test,R2,0.978488,26
XGBoost,Test,RMSE,8.595783,26
XGBoost,Test,MAE,5.448706,26
XGBoost,Test,R2,0.904922,27
XGBoost,Test,RMSE,17.080176,27
XGBoost,Test,MAE,9.427025,27
XGBoost,Test,R2,0.897763,28
XGBoost,Test,RMSE,20.391534,28
XGBoost,Test,MAE,9.601677,28
XGBoost,Test,R2,0.873474,29
XGBoost,Test,RMSE,22.674206,29
XGBoost,Test,MAE,10.554223,29
XGBoost,Test,R2,0.916241,30
XGBoost,Test,RMSE,19.067006,30
XGBoost,Test,MAE,9.093783,30
XGBoost,Test,R2,0.900738,31
XGBoost,Test,RMSE,19.610413,31
XGBoost,Test,MAE,9.189610,31
XGBoost,Test,R2,0.944418,32
XGBoost,Test,RMSE,14.512053,32
XGBoost,Test,MAE,9.177032,32
XGBoost,Test,R2,0.976023,33
XGBoost,Test,RMSE,9.906197,33
XGBoost,Test,MAE,7.004486,33
XGBoost,Test,R2,0.941022,34
XGBoost,Test,RMSE,14.614386,34
XGBoost,Test,MAE,8.744585,34
XGBoost,Test,R2,0.696732,35
XGBoost,Test,RMSE,31.153983,35
XGBoost,Test,MAE,13.143765,35
XGBoost,Test,R2,0.950122,36
XGBoost,Test,RMSE,12.743032,36
XGBoost,Test,MAE,8.672652,36
XGBoost,Test,R2,0.905914,37
XGBoost,Test,RMSE,17.358648,37
XGBoost,Test,MAE,10.285204,37
XGBoost,Test,R2,0.867266,38
XGBoost,Test,RMSE,22.944343,38
XGBoost,Test,MAE,8.614949,38
XGBoost,Test,R2,0.965819,39
XGBoost,Test,RMSE,11.328029,39
XGBoost,Test,MAE,6.975387,39
XGBoost,Test,R2,0.970619,40
XGBoost,Test,RMSE,11.642257,40
XGBoost,Test,MAE,7.669222,40
XGBoost,Test,R2,0.938000,41
XGBoost,Test,RMSE,15.961260,41
XGBoost,Test,MAE,7.648246,41
XGBoost,Test,R2,0.948653,42
XGBoost,Test,RMSE,13.858545,42
XGBoost,Test,MAE,9.157931,42
XGBoost,Test,R2,0.955441,43
XGBoost,Test,RMSE,13.740179,43
XGBoost,Test,MAE,7.600752,43
XGBoost,Test,R2,0.976138,44
XGBoost,Test,RMSE,9.664648,44
XGBoost,Test,MAE,6.443661,44
XGBoost,Test,R2,0.986597,45
XGBoost,Test,RMSE,7.587880,45
XGBoost,Test,MAE,5.356044,45
XGBoost,Test,R2,0.889433,46
XGBoost,Test,RMSE,18.807727,46
XGBoost,Test,MAE,9.940688,46
XGBoost,Test,R2,0.861284,47
XGBoost,Test,RMSE,20.228863,47
XGBoost,Test,MAE,9.375486,47
XGBoost,Test,R2,0.971954,48
XGBoost,Test,RMSE,11.982992,48
XGBoost,Test,MAE,7.721180,48
XGBoost,Test,R2,0.980526,49
XGBoost,Test,RMSE,8.758455,49
XGBoost,Test,MAE,6.308757,49
LightGBM,Train,R2,0.999131,0
LightGBM,Train,RMSE,1.869512,0
LightGBM,Train,MAE,0.796863,0
LightGBM,Train,R2,0.999530,1
LightGBM,Train,RMSE,1.326519,1
LightGBM,Train,MAE,0.591376,1
LightGBM,Train,R2,0.998961,2
LightGBM,Train,RMSE,1.988916,2
LightGBM,Train,MAE,1.004843,2
LightGBM,Train,R2,0.999426,3
LightGBM,Train,RMSE,1.509900,3
LightGBM,Train,MAE,0.712406,3
LightGBM,Train,R2,0.999692,4
LightGBM,Train,RMSE,1.095068,4
LightGBM,Train,MAE,0.602023,4
LightGBM,Train,R2,0.999156,5
LightGBM,Train,RMSE,1.766875,5
LightGBM,Train,MAE,0.869997,5
LightGBM,Train,R2,0.999040,6
LightGBM,Train,RMSE,1.889860,6
LightGBM,Train,MAE,0.914905,6
LightGBM,Train,R2,0.998771,7
LightGBM,Train,RMSE,2.123190,7
LightGBM,Train,MAE,1.033270,7
LightGBM,Train,R2,0.998999,8
LightGBM,Train,RMSE,1.980190,8
LightGBM,Train,MAE,0.932002,8
LightGBM,Train,R2,0.999193,9
LightGBM,Train,RMSE,1.757113,9
LightGBM,Train,MAE,0.859928,9
LightGBM,Train,R2,0.998727,10
LightGBM,Train,RMSE,2.238536,10
LightGBM,Train,MAE,1.044074,10
LightGBM,Train,R2,0.999276,11
LightGBM,Train,RMSE,1.656899,11
LightGBM,Train,MAE,0.757058,11
LightGBM,Train,R2,0.999131,12
LightGBM,Train,RMSE,1.779583,12
LightGBM,Train,MAE,0.851401,12
LightGBM,Train,R2,0.998885,13
LightGBM,Train,RMSE,2.047876,13
LightGBM,Train,MAE,0.962901,13
LightGBM,Train,R2,0.999460,14
LightGBM,Train,RMSE,1.390670,14
LightGBM,Train,MAE,0.707118,14
LightGBM,Train,R2,0.999544,15
LightGBM,Train,RMSE,1.350815,15
LightGBM,Train,MAE,0.599609,15
LightGBM,Train,R2,0.999269,16
LightGBM,Train,RMSE,1.684652,16
LightGBM,Train,MAE,0.835741,16
LightGBM,Train,R2,0.999360,17
LightGBM,Train,RMSE,1.569938,17
LightGBM,Train,MAE,0.708957,17
LightGBM,Train,R2,0.999137,18
LightGBM,Train,RMSE,1.797180,18
LightGBM,Train,MAE,0.811537,18
LightGBM,Train,R2,0.999292,19
LightGBM,Train,RMSE,1.651020,19
LightGBM,Train,MAE,0.813506,19
LightGBM,Train,R2,0.999644,20
LightGBM,Train,RMSE,1.179133,20
LightGBM,Train,MAE,0.593719,20
LightGBM,Train,R2,0.999415,21
LightGBM,Train,RMSE,1.514250,21
LightGBM,Train,MAE,0.737347,21
LightGBM,Train,R2,0.999317,22
LightGBM,Train,RMSE,1.618684,22
LightGBM,Train,MAE,0.794382,22
LightGBM,Train,R2,0.999324,23
LightGBM,Train,RMSE,1.650295,23
LightGBM,Train,MAE,0.766941,23
LightGBM,Train,R2,0.999297,24
LightGBM,Train,RMSE,1.674712,24
LightGBM,Train,MAE,0.727064,24
LightGBM,Train,R2,0.999471,25
LightGBM,Train,RMSE,1.417429,25
LightGBM,Train,MAE,0.750876,25
LightGBM,Train,R2,0.999518,26
LightGBM,Train,RMSE,1.386460,26
LightGBM,Train,MAE,0.714259,26
LightGBM,Train,R2,0.999342,27
LightGBM,Train,RMSE,1.636121,27
LightGBM,Train,MAE,0.885970,27
LightGBM,Train,R2,0.999278,28
LightGBM,Train,RMSE,1.662572,28
LightGBM,Train,MAE,0.742316,28
LightGBM,Train,R2,0.999190,29
LightGBM,Train,RMSE,1.761459,29
LightGBM,Train,MAE,0.855055,29
LightGBM,Train,R2,0.998185,30
LightGBM,Train,RMSE,2.611487,30
LightGBM,Train,MAE,1.088321,30
LightGBM,Train,R2,0.999500,31
LightGBM,Train,RMSE,1.392530,31
LightGBM,Train,MAE,0.600807,31
LightGBM,Train,R2,0.999320,32
LightGBM,Train,RMSE,1.627500,32
LightGBM,Train,MAE,0.811318,32
LightGBM,Train,R2,0.999396,33
LightGBM,Train,RMSE,1.518862,33
LightGBM,Train,MAE,0.772114,33
LightGBM,Train,R2,0.999217,34
LightGBM,Train,RMSE,1.756664,34
LightGBM,Train,MAE,0.719410,34
LightGBM,Train,R2,0.999240,35
LightGBM,Train,RMSE,1.751341,35
LightGBM,Train,MAE,0.785321,35
LightGBM,Train,R2,0.999084,36
LightGBM,Train,RMSE,1.920626,36
LightGBM,Train,MAE,0.869545,36
LightGBM,Train,R2,0.999127,37
LightGBM,Train,RMSE,1.877229,37
LightGBM,Train,MAE,0.891425,37
LightGBM,Train,R2,0.999252,38
LightGBM,Train,RMSE,1.697211,38
LightGBM,Train,MAE,0.840278,38
LightGBM,Train,R2,0.999514,39
LightGBM,Train,RMSE,1.377785,39
LightGBM,Train,MAE,0.701119,39
LightGBM,Train,R2,0.999233,40
LightGBM,Train,RMSE,1.682342,40
LightGBM,Train,MAE,0.776225,40
LightGBM,Train,R2,0.999171,41
LightGBM,Train,RMSE,1.778477,41
LightGBM,Train,MAE,0.805314,41
LightGBM,Train,R2,0.999299,42
LightGBM,Train,RMSE,1.655971,42
LightGBM,Train,MAE,0.747080,42
LightGBM,Train,R2,0.999120,43
LightGBM,Train,RMSE,1.825227,43
LightGBM,Train,MAE,0.844646,43
LightGBM,Train,R2,0.999340,44
LightGBM,Train,RMSE,1.596873,44
LightGBM,Train,MAE,0.639260,44
LightGBM,Train,R2,0.999469,45
LightGBM,Train,RMSE,1.414644,45
LightGBM,Train,MAE,0.690676,45
LightGBM,Train,R2,0.999585,46
LightGBM,Train,RMSE,1.295406,46
LightGBM,Train,MAE,0.570504,46
LightGBM,Train,R2,0.998834,47
LightGBM,Train,RMSE,2.188072,47
LightGBM,Train,MAE,1.023316,47
LightGBM,Train,R2,0.998508,48
LightGBM,Train,RMSE,2.303648,48
LightGBM,Train,MAE,0.838692,48
LightGBM,Train,R2,0.999351,49
LightGBM,Train,RMSE,1.583051,49
LightGBM,Train,MAE,0.687826,49
LightGBM,Test,R2,0.958596,0
LightGBM,Test,RMSE,11.679715,0
LightGBM,Test,MAE,7.444140,0
LightGBM,Test,R2,0.968963,1
LightGBM,Test,RMSE,11.657817,1
LightGBM,Test,MAE,7.022019,1
LightGBM,Test,R2,0.978239,2
LightGBM,Test,RMSE,9.501147,2
LightGBM,Test,MAE,6.516563,2
LightGBM,Test,R2,0.958857,3
LightGBM,Test,RMSE,11.972160,3
LightGBM,Test,MAE,6.161771,3
LightGBM,Test,R2,0.968500,4
LightGBM,Test,RMSE,10.923781,4
LightGBM,Test,MAE,7.164860,4
LightGBM,Test,R2,0.979061,5
LightGBM,Test,RMSE,9.773378,5
LightGBM,Test,MAE,6.530182,5
LightGBM,Test,R2,0.974455,6
LightGBM,Test,RMSE,10.712551,6
LightGBM,Test,MAE,7.134790,6
LightGBM,Test,R2,0.924982,7
LightGBM,Test,RMSE,18.769502,7
LightGBM,Test,MAE,9.149220,7
LightGBM,Test,R2,0.939193,8
LightGBM,Test,RMSE,15.035685,8
LightGBM,Test,MAE,7.949570,8
LightGBM,Test,R2,0.969093,9
LightGBM,Test,RMSE,11.216128,9
LightGBM,Test,MAE,6.796474,9
LightGBM,Test,R2,0.946507,10
LightGBM,Test,RMSE,13.950837,10
LightGBM,Test,MAE,7.994978,10
LightGBM,Test,R2,0.965819,11
LightGBM,Test,RMSE,11.998120,11
LightGBM,Test,MAE,6.706312,11
LightGBM,Test,R2,0.951306,12
LightGBM,Test,RMSE,15.227990,12
LightGBM,Test,MAE,7.862843,12
LightGBM,Test,R2,0.947574,13
LightGBM,Test,RMSE,15.073364,13
LightGBM,Test,MAE,8.551854,13
LightGBM,Test,R2,0.924981,14
LightGBM,Test,RMSE,19.427210,14
LightGBM,Test,MAE,9.079926,14
LightGBM,Test,R2,0.937630,15
LightGBM,Test,RMSE,14.491843,15
LightGBM,Test,MAE,7.618278,15
LightGBM,Test,R2,0.974405,16
LightGBM,Test,RMSE,9.939675,16
LightGBM,Test,MAE,5.623595,16
LightGBM,Test,R2,0.944467,17
LightGBM,Test,RMSE,14.848829,17
LightGBM,Test,MAE,6.896128,17
LightGBM,Test,R2,0.963253,18
LightGBM,Test,RMSE,12.721159,18
LightGBM,Test,MAE,6.308436,18
LightGBM,Test,R2,0.955064,19
LightGBM,Test,RMSE,13.364041,19
LightGBM,Test,MAE,8.336353,19
LightGBM,Test,R2,0.921369,20
LightGBM,Test,RMSE,17.196490,20
LightGBM,Test,MAE,9.109293,20
LightGBM,Test,R2,0.959418,21
LightGBM,Test,RMSE,12.249377,21
LightGBM,Test,MAE,6.607498,21
LightGBM,Test,R2,0.940690,22
LightGBM,Test,RMSE,15.468395,22
LightGBM,Test,MAE,8.965228,22
LightGBM,Test,R2,0.963770,23
LightGBM,Test,RMSE,10.781756,23
LightGBM,Test,MAE,6.853798,23
LightGBM,Test,R2,0.971194,24
LightGBM,Test,RMSE,9.900790,24
LightGBM,Test,MAE,6.514079,24
LightGBM,Test,R2,0.911290,25
LightGBM,Test,RMSE,19.276556,25
LightGBM,Test,MAE,10.451468,25
LightGBM,Test,R2,0.960723,26
LightGBM,Test,RMSE,11.614972,26
LightGBM,Test,MAE,6.296191,26
LightGBM,Test,R2,0.933966,27
LightGBM,Test,RMSE,14.234337,27
LightGBM,Test,MAE,7.563008,27
LightGBM,Test,R2,0.884564,28
LightGBM,Test,RMSE,21.667857,28
LightGBM,Test,MAE,10.209467,28
LightGBM,Test,R2,0.912427,29
LightGBM,Test,RMSE,18.863719,29
LightGBM,Test,MAE,8.914910,29
LightGBM,Test,R2,0.934625,30
LightGBM,Test,RMSE,16.845108,30
LightGBM,Test,MAE,8.801756,30
LightGBM,Test,R2,0.885934,31
LightGBM,Test,RMSE,21.021990,31
LightGBM,Test,MAE,9.529438,31
LightGBM,Test,R2,0.940808,32
LightGBM,Test,RMSE,14.975988,32
LightGBM,Test,MAE,8.435793,32
LightGBM,Test,R2,0.980065,33
LightGBM,Test,RMSE,9.032540,33
LightGBM,Test,MAE,6.134517,33
