排名,模型,贴近度 C_i,R²_mean,R²_std,RMSE_mean,RMSE_std,MAE_mean,MAPE_mean,tail_rmse_q10_mean,tail_rmse_q90_mean
1,TabPFN,0.9424,0.9736,0.0094,9.9257,2.415,3.7712,7.4177,8.5683,5.5743
2,XGBoost,0.8857,0.9587,0.0042,12.6194,1.3237,7.3142,16.489,20.1965,10.675
3,GPR,0.8839,0.9472,0.0208,13.8798,2.0995,5.8531,13.344,17.1836,10.8829
4,LightGBM,0.8777,0.9535,0.0134,13.2664,1.9536,7.854,16.4062,18.1821,10.6114
5,RF,0.8621,0.9533,0.01,13.3616,1.9697,7.5989,20.3786,20.618,9.8797
6,SVR,0.8527,0.9427,0.026,14.3664,3.2518,5.6958,10.5197,12.3925,14.1969
7,GBDT,0.8422,0.9513,0.0237,13.3288,2.8047,7.6943,17.3783,18.2349,12.4887
8,Lasso,0.0542,0.5541,0.0966,41.4446,6.9722,29.41,78.5987,66.9804,69.5907
9,Ridge,0.0348,0.5674,0.1104,40.7219,7.4344,28.3269,78.2876,66.5402,64.6373
