feature,importance_mean,importance_std
pressure_bar,61.67985510225699,1.9620185067298619
temperature_C,24.032560416465238,0.6500325118558932
inv_T_K,23.39721196209994,0.5565003952656116
MgO_mass_ratio,14.879762062132249,1.0452214297458307
microporosity,13.924038830445696,0.7663642630849882
SBET_m2_g,13.413881636737916,0.428518539777462
T_lnP,12.884199175979282,1.6473048553433685
MgO_surface_density,12.16441454715339,0.46455226392339644
Vmicro_cm3_g,10.273250505730564,0.38085061560462896
act1_type,10.135566644732853,0.6262414544213524
carbon_precursors,9.32101700718979,0.7157347093684934
Vmeso_cm3_g,8.958654101201684,0.49057193648686653
carb1_type,6.771472589220231,0.38449469820248944
Vtotal_cm3_g,6.51865674433531,0.21964646013370093
carb1_duration_h,5.952595996309133,0.311323001063725
MgO_precursors,5.708537811356647,0.7474823543789441
Mg_loading_method,5.190326470575781,0.5081726662676102
carb2_type,4.9480989767049754,0.4186374272709312
act2_type,4.697598515293832,0.38147705932735326
act1_temp_C,4.395910579970735,0.5892007259811123
carb1_temp_C,4.0298276762265175,0.259323887929621
carb2_duration_h,2.948088518286191,0.7891593565348884
act1_duration_h,2.7773651883393997,0.18512281654947174
carb2_temp_C,2.7748521853111456,0.8484515082519064
post_treatment_type,1.6094326917537594,0.5309306591001154
act2_temp_C,0.006214191879026077,0.0007682048706879232
act2_duration_h,-0.001063746101688956,0.0016576715835472503
