carbon_precursors,MgO_precursors,Mg_loading_method,act1_type,act2_type,carb1_type,carb2_type,post_treatment_type,SBET_m2_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,act2_temp_C,act2_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
3.375138735220313,1.563887668120481,-0.10553989692779682,-0.690046765469372,-0.09911503741981152,0.02631270233068175,-0.026212787649931218,0.4418205372821267,-0.27465883338528685,0.06894968923305342,-4.82696222473553,-4.531709065189449,-7.228080495553254,0.3653920807115802,0.14916142056293843,-0.11583102075236425,-0.2913808861535688,-1.4981997482131675,0.24163735579402582,0.019202222690039076,-0.4966798745247195,-0.770500359302215,-9.570309425648293,3.715766074690025,-33.64613903015419,-1.4699602020655962
3.6979970910098054,1.4635924313258062,-0.08196762651561759,-0.7208364613014461,-0.10644564286259676,-0.0006607850980825631,0.024104859678991956,0.151917856800341,-1.8400835203514903,-0.3693285540489853,-5.671319818215675,-4.91449683001841,-7.845740690290035,0.37257873440614825,0.1780269756900637,-0.10072717282921054,-0.2760846607915785,-1.8056717459301246,0.08640042279402116,0.019202222690039076,-0.2598586366098832,0.005314053368525485,-9.23675353454145,2.9821389752589926,-35.66330988021689,-1.4526328443323449
3.390716471283202,1.7488259191361544,-0.10767215643748648,-0.6234237602531717,-0.08719991137307505,0.08006199799110905,0.00403899321785108,0.4506802379895745,-0.2147721776586593,-5.789234018990649,-3.3906247444665647,-4.845773912985282,-4.908648638398279,0.30289989274187235,0.12205537299296501,-0.013133434616495259,-0.2843275691074695,-1.493814251415481,0.2238226193360857,0.03240060209012305,-0.3462565965615801,-2.222030496248553,-12.22805951990465,2.9753618249178206,-25.46855290955524,-0.5045046881412394
4.427857606632562,1.0064311228282743,-0.09820141369276424,-0.45165033401523647,-0.09031064438204327,0.11199201672397929,-0.11645390295170888,0.15150735354902198,-0.1318334668115769,-6.1918053279385505,-3.7767967894557404,-8.541070352910475,-4.748893883031466,0.12653563544809288,0.11390205052651907,-0.02909668894856614,-0.31220699229315424,-1.2642379929513676,0.048960658193010015,0.02323767969573304,-0.34012719003217423,-2.4902402968690143,-13.30163913557849,2.6689091595435697,-33.608117483035294,-7.265692074091478
3.3126630740063963,1.431058506009515,-0.1057480401680859,-0.7340751800093938,-0.09932186892285837,0.07655112965857443,-0.13357965836600363,0.15572765137213418,-2.606166919709754,-8.619950233320269,-4.209293550777292,-4.810538375801502,-5.755281260224372,0.2541582099175549,0.14781745336643493,-0.012939631386525917,-0.3279332377059944,-1.7286095171459694,0.21645603788551118,0.017783037121618637,-0.48888378179608305,-2.5246647624091576,-12.161487198033916,0.6806205951312946,-26.71596185121922,-0.8246805959084652
4.161716882781058,-0.2995805289505064,-0.030281808569760014,-0.6486398706409958,-0.10858650194516911,-0.7449502549904075,-0.03141367006718544,0.4296735279532947,-1.2705979412205002,-0.8125932175268306,-5.121447558884747,-5.756777857105569,-7.372109858611252,0.4437565655688633,0.2065140607631768,-0.09391751637729505,-0.2761138814839385,-1.8770109793278706,2.1613339864753733,-0.029151563492256755,-0.09233733657046375,1.1799706831557153,-12.717154174381834,3.8690028612739633,-33.63353680287951,-1.3765400329759165
4.270233308449325,-0.48975180400985824,-0.035510528319500044,-0.7008622958778754,-0.11621005107366827,-0.6753401289653549,-0.035349005338295866,0.13914166099523242,-2.3817728550914907,-1.7821301415135982,-5.664522536137035,-5.994749046567722,-7.32376835950241,0.4433332193459547,0.2163239974620932,-0.1098731056412423,-0.2732667887115877,-1.9535815658058069,2.5375172107434407,-0.029151563492256755,-0.09273382391372911,0.4130444393211118,-9.167632253117079,2.843884226538058,-34.56966826123069,-1.3779444561012084
3.773294619459976,-0.2458546019294719,-0.04950102577848932,-0.6886078619673099,-0.0890574915050819,-0.9364277133025086,-0.10590861897734648,0.414731787266589,-2.2555529321674226,-4.271159825887211,-3.115200601073238,-5.501623837444488,-6.2216678034003845,0.35144116108927953,0.22077797646132336,0.0021720411927665076,-0.2931697118672577,-2.0009473335565047,0.30611014437510203,-0.029969801369025446,-0.29239464871559623,-3.426558108363051,-5.113989188488024,0.8703273831038727,-28.349434359418794,-0.7243709456659033
3.9798662618230423,-0.5211673154684486,-0.023815714794577083,-0.6714363567534963,-0.1032443463461266,-0.652973929504628,-0.06632565600158151,0.15199754443100036,-3.0941360965562157,-7.153384030353672,-3.6919862426041132,-5.637582613819372,-5.476413425276798,0.347902070025062,0.2356626820270063,-0.03117109135600202,-0.2740317997129921,-1.9151555616169793,2.8240602393498584,-0.029969801369025446,-0.09278238969811932,0.38968974802447964,-8.939881896596361,0.6329367331170169,-29.397031625186482,-0.6499016113639653
4.377491334384132,-0.29006109032943067,-0.03546084711759818,-0.6764390290541131,-0.10934757471119848,-0.6058095189494319,-0.035739357996874034,0.13879919741365165,-0.1697167851154369,0.8623103425899112,-5.205394449226639,-5.581553120918881,-7.626031336194249,0.4457576780612571,0.1897070828055981,-0.10232550211570529,-0.26194024953744705,-1.900869700706302,3.3264755617675426,-0.029151563492256755,-0.1009714211050077,1.0554203818366314,-9.16594406617248,3.532159301323741,-34.56254665167777,-1.4148690279487393
